competitorname,chocolate,fruity,caramel,peanutyalmondy,nougat,crispedricewafer,hard,bar,pluribus,sugarpercent,pricepercent,winpercent,mother_company,big_brand
Peanut M&Ms,1,0,0,1,0,0,0,0,1,0.59299999,0.65100002,0.695,"Mars, Inc.",1
Pixie Sticks,0,0,0,0,0,0,0,0,1,0.093000002,0.023,0.377,Nestlé,1
Pop Rocks,0,1,0,0,0,0,1,0,1,0.60399997,0.83700001,0.413,Zeta Espacial S.A.,0
Red vines,0,1,0,0,0,0,0,0,1,0.58099997,0.116,0.373,American Licorice Company,0
Reese's Miniatures,1,0,0,1,0,0,0,0,0,0.034000002,0.27900001,0.819,Hershey's,1
Reese's Peanut Butter cup,1,0,0,1,0,0,0,0,0,0.72000003,0.65100002,0.842,Hershey's,1
Reese's pieces,1,0,0,1,0,0,0,0,1,0.40599999,0.65100002,0.734,Hershey's,1
Reese's stuffed with pieces,1,0,0,1,0,0,0,0,0,0.98799998,0.65100002,0.729,Hershey's,1
Ring pop,0,1,0,0,0,0,1,0,0,0.73199999,0.96499997,0.353,Topps,0
Rolo,1,0,1,0,0,0,0,0,1,0.86000001,0.86000001,0.657,Hershey's,1
Root Beer Barrels,0,0,0,0,0,0,1,0,1,0.73199999,0.068999998,0.297,Unknown,0
Runts,0,1,0,0,0,0,1,0,1,0.87199998,0.27900001,0.428,Ferrero SpA,1
Sixlets,1,0,0,0,0,0,0,0,1,0.22,0.081,0.347,SweetWorks Confections,0
Skittles original,0,1,0,0,0,0,0,0,1,0.94099998,0.22,0.631,"Mars, Inc.",1
Skittles wildberry,0,1,0,0,0,0,0,0,1,0.94099998,0.22,0.551,"Mars, Inc.",1
Nestle Smarties,1,0,0,0,0,0,0,0,1,0.26699999,0.97600001,0.379,Nestlé,1
Smarties candy,0,1,0,0,0,0,1,0,1,0.26699999,0.116,0.46,Nestlé,1
Snickers,1,0,1,1,1,0,0,1,0,0.546,0.65100002,0.767,"Mars, Inc.",1
Snickers Crisper,1,0,1,1,0,1,0,1,0,0.60399997,0.65100002,0.595,"Mars, Inc.",1
Sour Patch Kids,0,1,0,0,0,0,0,0,1,0.068999998,0.116,0.599,Mondelez International,1
Sour Patch Tricksters,0,1,0,0,0,0,0,0,1,0.068999998,0.116,0.528,Mondelez International,1
Starburst,0,1,0,0,0,0,0,0,1,0.15099999,0.22,0.67,"Mars, Inc.",1
Strawberry bon bons,0,1,0,0,0,0,1,0,1,0.56900001,0.057999998,0.346,Unknown,0
Sugar Babies,0,0,1,0,0,0,0,0,1,0.96499997,0.76700002,0.334,Tootsie Roll Industries,1
Sugar Daddy,0,0,1,0,0,0,0,0,0,0.41800001,0.32499999,0.322,Tootsie Roll Industries,1
Super Bubble,0,1,0,0,0,0,0,0,0,0.162,0.116,0.273,Ferrero SpA,1
Swedish Fish,0,1,0,0,0,0,0,0,1,0.60399997,0.755,0.549,Mondelez International,1
Tootsie Pop,1,1,0,0,0,0,1,0,0,0.60399997,0.32499999,0.49,Tootsie Roll Industries,1
Tootsie Roll Juniors,1,0,0,0,0,0,0,0,0,0.31299999,0.51099998,0.431,Tootsie Roll Industries,1
Tootsie Roll Midgies,1,0,0,0,0,0,0,0,1,0.17399999,0.011,0.457,Tootsie Roll Industries,1
Tootsie Roll Snack Bars,1,0,0,0,0,0,0,1,0,0.465,0.32499999,0.497,Tootsie Roll Industries,1
Trolli Sour Bites,0,1,0,0,0,0,0,0,1,0.31299999,0.255,0.472,Ferrero SpA,1
Twix,1,0,1,0,0,1,0,1,0,0.546,0.90600002,0.816,"Mars, Inc.",1
Twizzlers,0,1,0,0,0,0,0,0,0,0.22,0.116,0.455,Hershey's,1
Warheads,0,1,0,0,0,0,1,0,0,0.093000002,0.116,0.39,Impact Confections,0
Welch's Fruit Snacks,0,1,0,0,0,0,0,0,1,0.31299999,0.31299999,0.444,"The Promotion In Motion Companies, Inc.",0
Werther's Original Caramel,0,0,1,0,0,0,1,0,0,0.186,0.26699999,0.419,August Storck KG,0
Whoppers,1,0,0,0,0,1,0,0,1,0.87199998,0.84799999,0.495,Hershey's,1
